participant_id,session,participant_list,dataset,music_subset,session_song,test_mode,block,trial,image_filename,subset,encoding_condition,ground_truth,music_context,recognition_response,certainty,image_valence,image_arousal,rt_recognition_ms,rt_certainty_ms,rt_valence_ms,rt_arousal_ms
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,1,121 - 135521 - Untitled.jpg,a,no_music,seen,True,no,4,3,2,3620,5272,14864,9184
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,2,060 - 152753 - Untitled.jpg,c,new,new,True,no,4,2,4,4699,4455,5329,5016
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,3,181 - 62326 - Wings.jpg,a,no_music,seen,True,yes,5,4,4,3524,1232,11784,2896
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,4,113 - 23133 - Untitled.jpg,c,new,new,True,no,4,2,4,3564,14608,7200,3192
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,5,021 - 210010 - Florescence.jpg,c,new,new,True,no,3,2,3,7072,1888,5000,2857
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,6,082 - 244936 - Windcatchers in Pink.jpg,b,music,seen,True,yes,3,2,4,3567,4704,5600,2568
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,7,124 - 234101 - Burnt Umber and Ultramarine.jpg,c,new,new,True,no,2,2,2,5194,5984,4072,2048
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,8,120 - 158376 - La Campagna Series #10.jpg,a,no_music,seen,True,yes,2,3,3,2893,1824,3616,2040
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,9,211 - 237886 - Waterfall.jpg,c,new,new,True,yes,2,3,3,3078,1888,2544,1944
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,10,136 - 6010 - Number 19.jpg,a,no_music,seen,True,yes,2,3,4,3053,2184,4424,6312
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,11,153 - 102580 - Otium cum Dignitade.jpg,b,music,seen,True,yes,5,4,3,3416,2376,11272,1696
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,12,150 - 227588 - Untitled.jpg,a,no_music,seen,True,yes,4,3,4,3187,4864,2712,2576
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,13,108 - 229392 - Work.jpg,b,music,seen,True,yes,2,3,3,2974,1760,1976,1104
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,14,005 - 99542 - 1967 (Silver Brown).jpg,c,new,new,True,yes,2,2,3,4196,808,5360,1104
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,15,189 - 185780 - Figure in Pink and Yellow.jpg,b,music,seen,True,yes,3,4,2,3005,1304,3615,3977
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,16,148 - 129827 - The Wedding Gifts.jpg,c,new,new,True,yes,2,2,3,3191,928,3440,1216
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,17,202 - 158375 - Untitled.jpg,c,new,new,True,yes,2,3,4,2972,1160,2600,696
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,18,196 - 8987 - Painting with Green Center.jpg,b,music,seen,True,yes,2,3,4,3464,872,4641,1096
2601,Baseline,4,Group_2,b,song_1.mp3,0,1,19,105 - 5394 - Untitled.jpg,b,music,seen,True,yes,3,3,2,2908,824,4871,1625
